name,formula,mass
hydrogen,H2,2.015650064
water,H2O,18.01056468
methane,CH4,16.03130013
ethene,C2H4,28.03130013
ethine,C2H2,26.01565006
butene,C4H8,56.06260026
pentene,C5H8,68.06260026
benzene,C6H6,78.04695019
formaldehyde,CH2O,30.01056468
carbon monoxide,CO,27.99491462
formic acid,CH2O2,46.0054793
carbon dioxide,CO2,43.98982924
acetic acid,C2H4O2,60.02112937
ketene,C2H2O,42.01056468
propionic acid,C3H6O2,74.03677943
malonic acid,C3H4O4,104.0109586
malonic anhydride,C3H2O3,86.00039392
pentose equivalent,C5H8O4,132.0422587
deoxyhexose equivalent,C6H10O4,146.0579088
hexose equivalent,C6H10O5,162.0528234
hexuronic equivalent acid,C6H8O6,176.032088
ammonia,NH3,17.0265491
methylamine,CH5N,31.04219916
methylimine,CH3N,29.0265491
trimethylamine,C3H9N,59.07349929
cyanic acid,CHNO ,43.00581365
urea,CH4N2O,60.03236275
phosphonic acid,H3PO3,81.98198059
phosphoric acid,H3PO4,97.97689521
metaphosphoric acid,HPO3,79.96633052
dihydrogen vinyl phosphate,C2H5O4P,123.9925453
hydrogen sulfide,H2S,33.98772106
sulfur,S,31.972071
sulfur dioxide,SO2,63.96190024
sulfur trioxide,SO3,79.95681486
sulfuric acid,H2SO4,97.96737954
